Date,Open,High,Low,Close,Volume,Cluster
2020-09-11,270.059998,271.390015,262.640015,266.609985,18913900.0,0
2020-09-10,275.51001,279.160004,267.029999,268.089996,24814700.0,0
2020-09-09,275.769989,278.480011,271.350006,273.720001,22918800.0,0
2020-09-08,271.279999,279.299988,269.420013,271.160004,24864000.0,0
2020-09-04,287.25,289.0,271.140015,282.730011,30333700.0,0
2020-09-03,295.98999,297.600006,283.630005,291.119995,32294100.0,0
2020-09-02,298.880005,303.600006,293.049988,302.5,24341400.0,2
2020-09-01,294.709991,301.48999,292.709991,295.440002,17295900.0,2
2020-08-31,293.950012,296.880005,291.549988,293.200012,17345100.0,0
2020-08-28,295.0,297.230011,290.980011,293.660004,17157400.0,0
2020-08-27,300.160004,301.230011,292.019989,293.220001,30301300.0,0
2020-08-26,284.0,304.670013,284.0,303.910004,69015200.0,0
2020-08-25,272.410004,283.089996,270.26001,280.820007,42127200.0,0
2020-08-24,271.070007,277.25,268.769989,271.390015,23685600.0,0
2020-08-21,268.690002,270.48999,266.420013,267.01001,15538600.0,0
2020-08-20,261.5,269.630005,261.459991,269.01001,20299700.0,0
2020-08-19,261.390015,267.910004,261.350006,262.589996,23291500.0,0
2020-08-18,260.950012,265.149994,259.26001,262.339996,18690400.0,0
2020-08-17,262.5,264.100006,259.399994,261.160004,13351100.0,0
2020-08-14,262.309998,262.649994,258.679993,261.23999,14792700.0,0
2020-08-13,261.549988,265.160004,259.570007,261.299988,17374000.0,0
2020-08-12,258.970001,263.899994,258.109985,259.890015,21415700.0,0
2020-08-11,260.190002,265.920013,255.130005,256.130005,28238300.0,0
2020-08-10,268.040009,273.859985,259.690002,263.0,30248800.0,0
2020-08-07,264.079987,278.890015,263.429993,268.440002,72766400.0,0
2020-08-06,249.039993,266.600006,248.669998,265.279999,45241600.0,0
2020-08-05,250.190002,252.270004,247.770004,249.119995,13050100.0,0
2020-08-04,251.559998,252.800003,247.429993,249.830002,17183500.0,0
2020-08-03,252.649994,255.399994,250.330002,251.960007,23124900.0,0
2020-07-31,255.820007,255.850006,249.0,253.669998,53005100.0,0
2020-07-30,230.220001,234.889999,229.0,234.5,20615300.0,0
2020-07-29,231.139999,233.699997,230.309998,233.289993,13588300.0,0
2020-07-28,234.630005,234.960007,229.830002,230.119995,14170100.0,0
2020-07-27,231.460007,234.949997,230.830002,233.5,13163100.0,0
2020-07-24,230.190002,233.490005,226.899994,230.710007,18325800.0,0
2020-07-23,239.630005,242.419998,231.75,232.600006,21771800.0,0
2020-07-22,240.259995,241.899994,238.119995,239.869995,15427900.0,0
2020-07-21,246.220001,246.910004,240.080002,241.75,19364200.0,0
2020-07-20,240.059998,246.050003,235.639999,245.419998,20872200.0,0
2020-07-17,241.0,244.160004,237.860001,242.029999,18152400.0,0
2020-07-16,238.0,241.759995,236.330002,240.929993,18880700.0,0
2020-07-15,241.550003,244.820007,238.050003,240.279999,19133600.0,0
2020-07-14,236.759995,240.330002,232.029999,239.729996,23378100.0,0
2020-07-13,247.009995,250.149994,238.419998,239.0,24674900.0,0
2020-07-10,243.690002,245.490005,239.320007,245.070007,22982700.0,0
2020-07-09,245.0,246.529999,239.240005,244.5,22174900.0,0
2020-07-08,238.110001,246.990005,236.589996,243.580002,29791300.0,0
2020-07-07,239.410004,247.649994,238.820007,240.860001,27887800.0,0
2020-07-06,233.759995,240.399994,232.270004,240.279999,26206200.0,0
